Station,Station Code,y,x
BL板橋,BL07 Y16 板橋,25.013825,121.462305
G大坪林,G04 Y07 大坪林,24.98272,121.54134
Y板橋,BL07 Y16 板橋,25.013825,121.462305
七張,G03 七張,24.97545,121.542985
十四張,Y08 十四張,24.984444, 121.523333
三民高中,O53 三民高中,25.085425,121.473365
三和國中,O51 三和國中,25.07646,121.486795
三重,O15 三重,25.05571,121.48422
三重國小,O50 三重國小,25.070275,121.49701
土城,BL03 土城,24.97313,121.44432
士林,R16 士林,25.093492,121.52623
大安,BR09 R05 大安,25.033311,121.54237
大安森林公園,R06 大安森林公園,25.033225,121.536151
大坪林,G04 Y07 大坪林,24.98272,121.54134
大直,BR14 大直,25.07943,121.54679
大湖公園,BR20 大湖公園,25.083805,121.602214
大橋頭,O12 大橋頭,25.06322,121.513003
小南門,G11 小南門,25.035585,121.51088
小碧潭,G03A 小碧潭,24.97188,121.53058
中山,R11 G14 中山,25.052621,121.520364
中山國小,O10 中山國小,25.062665,121.526609
中山國中,BR12 中山國中,25.06085,121.544215
中正紀念堂,R08 G10 中正紀念堂,25.032767,121.518273
中和,Y12 中和,25.002389, 121.496194
中原,Y14 中原,25.009167, 121.487222
丹鳳,O20 丹鳳,25.029073,121.422422
內湖,BR19 內湖,25.083675,121.594363
公館,G07 公館,25.014781,121.534358
六張犁,BR07 六張犁,25.02381,121.55302
文德,BR18 文德,25.078455,121.584999
木柵,BR02 木柵,24.99824,121.573127
北投,R22 北投,25.131819,121.498648
北門,G13 北門,25.049554,121.510184
古亭,G09 O05 古亭,25.026373,121.522868
台大醫院,R09 台大醫院,25.041399,121.51602
台北101/世貿,R03 台北101/世貿,25.032865,121.563667
台北小巨蛋,G17 台北小巨蛋,25.05152,121.552549
台北車站,R10 BL12 台北車站,25.04631,121.517415
台北橋,O13 台北橋,25.063075,121.500575
台電大樓,G08 台電大樓,25.020733,121.528143
市政府,BL18 市政府,25.041135,121.565685
民權西路,R13 O11 民權西路,25.06235,121.519585
永安市場,O03 永安市場,25.002895,121.511225
永春,BL19 永春,25.040855,121.5762
永寧,BL02 永寧,24.96682,121.43613
石牌,R19 石牌,25.114455,121.515572
先嗇宮,O16 先嗇宮,25.04632,121.47165
江子翠,BL09 江子翠,25.030265,121.47257
竹圍,R26 竹圍,25.1369,121.45955
行天宮,O09 行天宮,25.05924,121.53315
西門,G12 BL11 西門,25.042025,121.508175
西湖,BR16 西湖,25.08216,121.567227
秀朗橋,Y09 秀朗橋,24.985833, 121.529167
辛亥,BR05 辛亥,25.005455,121.557046
亞東醫院,BL05 亞東醫院,24.99828,121.452465
奇岩,R21 奇岩,25.12547,121.50114
幸福,Y19 幸福,25.0475, 121.459167
府中,BL06 府中,25.008465,121.459276
忠孝復興,BR10 BL15 忠孝復興,25.041749,121.545026
忠孝敦化,BL16 忠孝敦化,25.041505,121.55045
忠孝新生,O07 BL14 忠孝新生,25.042498,121.53321
忠義,R24 忠義,25.130923,121.473298
昆陽,BL21 昆陽,25.050459,121.593228
明德,R18 明德,25.109815,121.518785
東門,R07 O06 東門,25.033894,121.528766
東湖,BR22 東湖,25.067455,121.611535
松山,G19 松山,25.050118,121.577706
松山機場,BR13 松山機場,25.062908,121.55201
松江南京,G15 O08 松江南京,25.052693,121.53285
板新,Y15 板新,25.010556, 121.473611
芝山,R17 芝山,25.102718,121.522546
信義安和,R04 信義安和,25.033015,121.552326
南京三民,G18 南京三民,25.051588,121.56471
南京復興,BR11 G16 南京復興,25.052044,121.544303
南港,BL22 南港,25.052035,121.60697
南港展覽館,BR24 BL23 南港展覽館,25.054919,121.616861
南港軟體園區,BR23 南港軟體園區,25.05992,121.615
南勢角,O01 南勢角,24.990065,121.509237
後山埤,BL20 後山埤,25.044715,121.58227
科技大樓,BR08 科技大樓,25.02612,121.543462
紅樹林,R27 紅樹林,25.15399,121.4588
徐匯中學,O52 徐匯中學,25.080485,121.479945
海山,BL04 海山,24.985305,121.44873
迴龍,O21 迴龍,25.022107,121.411757
動物園,BR01 動物園,24.998205,121.579501
唭哩岸,R20 唭哩岸,25.120852,121.506234
國父紀念館,BL17 國父紀念館,25.04137,121.557815
淡水,R28 淡水,25.167745,121.445805
頂埔,BL01 頂埔,24.96012,121.4205
頂溪,O04 頂溪,25.013858,121.515462
善導寺,BL13 善導寺,25.04468,121.523885
