　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-01-01,4723,7789,18378,41090,11551,7468,6803,3373,1896,9256,1341,2602,8520,5751,11078,4970,5727,3618,6867,5484,5314,5484,2276,14451,1855,9519,8704,11648,12729,12765,7798,23258,12735,18394,20089,3962,27693,18639,16493,15856,10246,169346,38049,15067,13789,27231,30552,25412,17102,7422,20712,5203,4631,15695,8636,2530,1624,8676,7507,13844,43665,5950,9586,5039,14943,12397,21081,42130,26278,17125,32640,76789,11606,24764,25633,17177,49731,12610,12277,8109,15236,7940,28485,11468,8585,10637,16398,11206,13674,16086,7372,6814,3275,1980,4825,6182,8008,8415,11651,19665,22135,8705,8549,8889,8064,9215,6144,6359
2019-01-02,5898,16276,43711,47240,28054,16448,12570,4152,3034,16160,2105,5023,7213,11076,10857,20149,18044,5844,9236,3030,9060,9147,5639,27730,2534,11030,12750,17743,21938,18306,10264,29361,18549,35578,29882,12108,39551,28578,27016,22750,27336,142126,42805,24440,24891,28047,34402,30945,23799,13522,34362,7509,8521,20542,7266,3770,3750,14231,10022,11703,37368,8270,13553,7282,22921,24686,27966,42466,42405,27257,32236,70389,26435,34611,36758,23763,62528,22067,17602,15337,17944,12956,31805,20749,7651,12912,42692,25836,27323,25274,14648,11730,4811,5252,6595,10784,10110,12662,19656,31782,28083,13430,12962,13406,12896,12880,10198,9327
2019-01-03,5399,16824,46168,48271,29044,16494,12809,4068,3165,16189,2139,4824,6424,11017,11238,20736,18315,6000,9159,3053,8859,9076,5618,29532,2628,11212,12670,17595,22887,18058,10322,28243,18691,36524,30234,12185,40030,28955,26812,22952,28138,137518,42846,25353,25364,27998,34758,30762,24069,13562,34236,7396,8866,20469,6784,3850,3858,13951,10014,11589,34846,8198,13563,7403,23198,25103,28167,42769,42918,27847,31973,70084,26804,34885,37913,25088,62811,22164,17491,16304,17883,12993,32493,21171,7800,12921,44354,27514,27465,25781,14377,12086,4912,5399,6670,10792,9973,12814,19267,31685,28335,13643,13096,13395,13120,12823,10404,9361
2019-01-04,5836,16967,47098,53855,29826,17115,12917,4141,3098,16611,2305,5052,8810,10809,13243,20084,18700,6425,9959,3580,9264,9534,5677,32010,2590,12174,13238,18367,23641,19489,10518,30504,20121,37152,32691,12577,41080,29960,27685,23521,28771,169310,47480,27125,26827,31690,38173,32877,26243,13918,36251,7664,9649,21987,7089,4114,3831,14176,10680,15864,40695,8976,15539,8008,24264,25726,31315,46319,44039,28795,34324,79494,27307,37178,41435,26530,71296,23053,18357,16343,21049,14903,41808,22613,9073,13731,45078,27654,28657,27834,14272,12882,5232,5476,7430,10709,10675,13419,20453,33965,30436,14437,13995,13948,13270,12994,10967,9846
2019-01-05,4135,11010,26509,51357,19237,10813,8792,3571,2449,10385,1771,3477,9053,7567,12921,6399,8242,4175,8586,3661,5908,6789,2540,23053,2227,10987,10158,14007,16603,17012,8865,29173,18251,29044,25903,6424,33275,23623,21083,19204,13373,158246,46927,21031,18376,28083,35285,29499,20794,9693,28068,6357,6329,18155,8151,3361,2334,9210,9009,13903,38323,6581,12001,6431,18107,17494,28116,40637,34274,22778,32983,82684,18201,34229,35417,23058,55071,16326,15026,9846,15139,10135,37245,15275,10387,11696,21725,20724,18295,20931,8918,9701,4487,2609,6325,7944,9621,10843,14455,23547,26736,11958,10591,11371,10259,10777,8112,7650
2019-01-06,3859,8452,19421,39677,14095,8341,7081,3180,2126,8894,1321,2472,5170,6162,11097,4935,6194,3796,6654,2459,5035,5549,2674,19232,1995,8690,8647,11156,12895,12878,7533,23112,14704,21449,21665,4952,27335,18932,16819,15399,10027,136988,37510,14775,16171,21364,26569,22406,19613,7531,20544,5089,4979,14423,6842,2708,1506,8030,7189,10371,28952,5811,9401,5230,14827,13353,22210,34898,27159,18645,28188,67904,13839,26760,27176,16842,45964,13830,12840,8213,13101,6769,34544,11226,8018,8784,15626,12187,14054,15494,7001,7237,3424,2210,4862,6339,7466,8584,11653,18613,20994,8613,8440,8902,7975,8654,6265,6299
2019-01-07,5336,15740,43311,43600,27172,15066,11996,3856,3055,15799,2137,4808,6284,10639,11045,19748,17822,5650,8712,3290,8898,8959,5273,28533,2464,11309,12365,17036,22003,17577,9612,26272,17616,34265,27565,12216,38477,27727,26097,22559,27973,133067,37987,23879,24682,27335,33281,28988,23886,13621,34200,7357,8547,20036,5836,3625,3787,14160,10285,14014,37084,8264,13738,7458,22817,24948,27518,40994,41913,26992,31203,66574,24488,32231,35251,22499,60948,21040,17145,15600,17322,13176,37555,19732,7867,12310,40930,24894,25480,24539,14101,12030,4933,5068,6514,10413,9634,12067,18448,30535,25620,13507,13083,12955,12713,12560,10374,9257
2019-01-08,5220,15891,44791,45288,28218,15659,12034,4031,3088,16515,2123,4899,6379,11215,11857,20022,18061,5838,9116,3298,8940,9013,5566,29418,2435,11269,12655,17246,22277,18314,10030,26816,18369,35063,29675,12018,38665,28421,26882,22753,28686,132701,39492,24600,24945,28780,33904,29810,24331,13717,34419,7232,8765,20347,6184,3812,3836,14373,10330,13020,35994,8404,13842,7406,23268,25139,28476,41856,43255,27576,31223,67799,25796,33716,36404,23826,61401,22210,17193,15464,17720,13117,29998,20331,7709,12300,42127,26019,26319,24768,14408,12047,4958,5258,6472,10594,9874,12349,18714,31267,26517,13562,13204,13170,12707,12571,10608,9420
2019-01-09,4984,16056,44842,46474,27837,15831,12354,4067,3125,15872,2112,4899,6848,10833,11722,20349,18203,5852,9155,3351,9046,9138,5623,29773,2509,11490,12507,17366,22800,18297,9889,27241,18856,35340,29623,11831,39288,28371,26688,22820,28249,134901,40067,24913,25578,29237,34463,29834,24625,13606,34936,7478,8875,20423,6327,3953,3948,14584,10428,14087,37718,8268,14036,7801,23236,25136,28707,41440,42629,27577,31075,68682,26149,33693,37651,24274,62969,22123,17378,15693,18048,13178,30842,20296,7991,12618,42763,26564,26615,25824,13712,12171,4970,5239,6722,10508,10227,12632,18578,32030,26786,13538,13295,13266,12736,12415,10706,9507
2019-01-10,5320,16306,45429,49686,28705,15703,12304,4030,3113,16291,2242,4956,7588,11193,12205,20282,18186,5857,9264,3588,9035,9058,5446,30498,2532,11346,12731,17230,23410,18658,10050,28345,18934,35502,29865,11901,39345,29061,26633,22819,27921,140551,41833,25065,25362,29435,34325,30960,25126,13852,34704,7534,9063,20288,6458,3764,3892,14531,10384,16022,40398,8504,14286,7587,23143,25142,29310,42183,42858,27700,31389,71698,25752,34404,37959,24576,66913,22327,17215,16447,18868,14159,36699,20547,8163,12752,42625,26996,26603,25702,14384,12304,5108,5279,6762,10564,10226,12727,18977,31451,27363,13549,13377,13256,12836,12599,10524,9553
