　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-04-01,5659,15535,40706,44407,27815,14732,12241,4641,3224,14810,2599,4567,5661,10359,10220,18819,18025,5857,9060,3158,7946,8683,5659,29766,2397,13037,11252,17107,22557,15584,10186,29692,17853,33944,29227,9937,36825,27331,26816,22640,25947,138695,38047,22778,25479,26675,30015,26030,23338,13864,32077,7784,9987,17836,5674,3591,3421,12971,9466,9407,32764,8886,13135,7643,22223,26878,30890,37700,40929,25877,29723,64994,23693,33433,33876,21420,58843,20818,17094,14495,17899,14190,29482,18440,7777,12413,41547,24358,25393,25956,7671,10653,5176,5122,6400,10324,9531,14021,18365,29861,24302,14849,12480,12287,13433,12216,10953,10016
2019-04-02,5608,15889,41536,45003,28352,14527,12447,4755,3311,16889,2723,4570,7524,10905,10760,19347,18092,6031,9394,3373,7987,8816,5725,30376,2376,13841,11440,17382,22707,15764,10396,26237,18106,33190,31170,9750,37167,27487,26299,22935,26494,138128,38465,23135,25769,28186,29254,27141,24324,14097,33176,7572,10234,18749,6088,3692,3606,13601,9699,9854,34253,8982,13061,7738,22610,27078,31121,37974,41548,26229,30017,64794,24925,34843,34370,22361,58812,21459,17121,14539,17761,14451,29886,18948,8512,12562,41083,25308,24680,25865,7395,10785,5268,5081,6195,10127,9488,13871,18599,30459,23698,14821,12607,12356,13061,12132,10687,9976
2019-04-03,6436,15980,41353,50448,28800,16074,12973,5068,3461,15894,2760,4896,8284,9350,11280,17652,18846,6553,10035,3396,8403,9327,5547,31096,2386,14664,12062,18643,23552,16389,10874,26653,19024,33713,32032,9875,38953,28772,27707,23444,25481,156243,41979,23867,25729,28111,31161,28590,25012,14391,35018,8171,10449,20227,6185,3785,3594,14932,10218,10863,35136,9385,13901,8219,23486,27717,32700,42244,43149,27474,31076,71937,22854,33028,36775,23607,64419,22573,18205,15498,19796,14657,31392,19631,8553,13439,42015,25786,25485,26463,7708,11151,5240,5369,6592,10707,10218,15798,18705,30215,24523,15213,13130,12824,13725,12802,11150,10557
2019-04-04,5184,9245,18988,45030,13664,9898,8213,6584,2479,9571,2285,3582,20553,5540,10261,5081,6417,4015,8511,4056,5494,6195,2285,22704,1880,17004,8831,12861,13326,13313,8525,24690,13960,20929,23069,4100,30607,21038,19889,18288,9339,144722,37192,15793,16573,27603,36173,26055,18824,8326,23798,6199,6689,16028,6964,2941,2638,8842,8102,12732,49268,6264,10633,6926,16881,17566,26362,36919,30625,19633,28382,74688,12378,25863,26912,16644,50531,14145,13424,8171,13807,10583,31170,12643,7867,11096,17330,11743,14374,19016,5904,7686,3624,2135,6319,6912,9044,11877,11673,18535,19856,11164,9752,9424,9712,9677,7811,7461
2019-04-05,5044,8232,17030,39369,11728,8866,7033,6199,2020,7121,1833,3089,17670,4720,8917,4102,5417,3461,7088,3482,4876,5288,2025,19691,1761,17646,7974,11234,11444,11532,7133,21343,12588,18076,22979,3679,26154,17686,16670,15292,8449,144466,34714,14210,14650,22297,32775,23139,16115,7304,20621,5360,5852,13814,6746,2741,2078,7878,7194,11543,46153,5695,9377,6221,14294,13183,23721,33917,25716,16748,28053,73249,12269,23684,24542,14617,46905,11569,11557,6986,13184,9789,28567,11104,7834,9816,14876,10509,12906,19064,5033,7467,3322,1954,5475,5959,8252,10689,10235,16365,18106,9579,8410,8070,8219,8704,6866,6691
2019-04-06,5300,9226,20248,45497,14584,9953,8145,4686,2654,8720,2262,3942,19261,6837,11218,4964,6314,4052,8462,4367,5554,6304,2226,26516,2066,22328,9579,13626,14309,13452,8120,27005,14769,22049,24845,4468,30598,21448,20322,18139,16086,188334,40864,18403,17920,31475,38684,29056,19620,7926,24090,6093,6964,17013,8068,3004,2217,9179,8933,13460,59606,6746,12289,6569,16870,16223,28967,42086,31298,19508,30687,85174,12534,29534,28448,17553,53720,13316,13501,8074,16917,11417,33948,12828,11891,12162,16717,15947,14919,21961,6202,9107,4308,2124,6806,7258,9455,12923,12059,21032,21751,11707,10129,10416,9836,10273,8090,8175
2019-04-07,5799,8101,17158,37490,12289,8479,6591,3940,2265,7078,1762,3093,11714,4954,9443,4712,6102,3701,7232,3591,4947,5500,2112,20227,1771,16073,8170,12041,12439,12281,7512,24290,13561,19430,21096,3796,26330,18862,17368,16186,9781,190071,33930,13403,17267,25703,28660,23034,19124,7458,19775,5462,5867,14508,6214,2581,1723,7616,7324,11444,44453,6593,10932,5681,15365,14224,24256,38682,27329,17474,25841,69354,11116,24736,23954,15575,46177,12506,12203,7438,16196,9810,27650,10316,11151,10063,14300,10818,12628,16955,5851,7665,3577,2031,5872,6159,7379,12009,10544,16043,19102,10000,8644,8245,8615,8926,6948,6810
2019-04-08,6195,15068,39909,42393,27442,15692,12035,4261,3150,14620,2715,4619,5654,10258,10424,18602,17711,5909,8839,3476,8820,8573,5544,29907,2299,13839,11313,17322,22271,16964,9763,26957,17183,33776,28139,11734,36149,26738,26133,22074,26684,152277,35844,22767,25552,27755,31946,28354,23351,14051,32008,7641,9792,18314,5357,3593,3564,12962,9499,9705,36669,9075,13199,7558,22199,26701,30192,38375,42534,25640,29392,62861,22200,31234,32699,20188,57286,20454,16842,14480,18217,14182,27496,18055,8326,12608,39697,23364,24379,24763,12909,10782,5217,4911,6430,10225,9257,14023,17864,28607,23252,14844,12453,11904,13120,11913,11066,9892
2019-04-09,6119,15576,41554,43798,28416,16386,12400,4411,3385,15246,2792,4630,6772,10693,11176,19318,18057,6182,9216,3366,9094,8818,5642,30616,2375,13925,11486,17657,22838,17538,10319,28063,18060,35033,29687,12056,37445,27887,27095,23163,27150,134864,37593,22749,25928,28260,33257,29429,25201,14319,33279,7711,10159,18595,5550,3746,3740,13638,9914,9618,37156,9044,13178,7454,22666,27589,31034,37921,44199,26538,29745,62455,23978,32286,33617,21355,57943,21235,17236,14586,17372,14489,27944,18756,8381,12288,39964,24789,24686,25034,13360,11142,5566,5181,6473,10430,9421,13850,18417,29483,24497,15024,12715,12465,13251,12179,11241,10139
2019-04-10,5944,16316,41915,44553,28948,16477,12658,4415,3435,15479,2774,4686,6611,11154,11064,19504,18455,6360,9404,3429,9331,8669,5956,30779,2367,13888,11675,18046,23353,17979,10465,28750,18785,35702,30684,12145,37810,28072,26982,23278,26899,134873,38869,23400,26189,27674,33969,30177,24774,14589,33292,7965,10051,18927,5694,4014,3746,13364,9848,9855,37949,9109,13317,7794,23036,27358,31933,38189,44355,26662,29900,63880,24783,33353,34712,22809,59715,21379,17463,14860,17871,14300,29713,18888,8470,12573,42334,25005,25416,25744,13503,11604,5686,5210,6615,10588,9584,14157,18507,29997,25373,15275,12868,12565,13381,12325,11349,10218
