　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022-01-01,1704,6628,15453,32431,10036,7724,6054,3360,2050,5389,1635,2789,10584,4102,9982,3671,4557,2935,6785,3561,4068,4738,2131,12849,3932,19157,8409,10547,13256,11461,7008,18700,9641,15887,15156,2895,23347,15183,15209,13432,7652,113254,36611,12518,12062,23842,22260,20988,15465,6464,16561,5088,5146,13002,7180,2611,1410,7074,6430,9945,42625,5232,8444,5007,13518,11839,22031,36815,22929,15335,23863,65877,10618,21337,21097,12005,48772,11665,10428,6222,13155,10386,23741,9817,8976,9292,13057,11838,9972,14446,4947,6270,4124,3424,6819,5844,8302,9993,9423,13815,14103,8559,7688,7902,7582,7813,6263,6150,721,2293,2622,4000,961,1309,1666,9754,1629,3096,2853
2022-01-02,2697,5761,12942,27592,9033,7171,5255,2822,1896,4928,1266,2074,5756,3597,7601,3320,4432,2564,5869,2869,3653,4152,1651,11499,3101,12809,7323,9243,11515,10626,6290,15601,8919,14856,11858,2465,19828,13785,13603,12150,5329,128744,30951,9912,11971,18324,16663,17048,13757,5815,14414,4519,4647,11484,5284,2314,1282,5744,5504,7270,29486,5145,8186,4510,12395,10751,18699,31360,20713,14186,19248,47305,8630,17693,17596,10641,39961,10252,9185,5545,13748,7777,16675,8109,14413,6804,10808,8618,8849,11664,4236,5167,3385,3566,5558,5023,6327,9413,8617,11364,13811,7401,6674,6878,6767,6604,5743,5440,680,1771,2124,3211,813,1017,1314,11012,1343,2391,2267
2022-01-03,3403,12357,34770,31283,22716,12993,10138,3791,3126,11890,2488,4159,3851,8811,9572,16276,17177,5617,8312,3233,7858,7766,5999,26248,2907,12297,11329,14345,22243,15145,8854,21363,13552,27474,21784,9026,30605,22617,23571,19304,20204,110008,31874,17070,20720,22554,22996,24303,20316,12101,27473,6787,8416,16344,4676,3401,3050,13097,8570,9944,30392,9157,12059,7224,20722,24112,25365,30548,35835,23207,23341,44298,18906,26984,26070,15835,48356,17903,13922,12679,17254,13185,21930,16179,7114,9984,32938,19525,21733,21723,12609,10140,5722,4940,6127,9736,8518,12155,15101,25205,18293,13703,11357,11114,11819,10618,11408,9483,1630,2320,3357,4318,2451,3346,2801,7937,2028,3435,4361
2022-01-04,3142,13168,37091,33817,23933,13547,10807,3966,3231,12395,2481,4217,4269,9024,10160,17346,17889,5714,8759,3207,7993,8053,6677,26869,2902,12477,11638,14411,22815,15904,9300,22259,14399,29616,23202,9206,31653,23714,24209,19766,21394,97511,33275,17861,21582,23144,24397,25550,21430,12372,28385,6909,8666,16986,4864,3648,3212,13452,8916,10462,30365,9162,11755,7393,21264,25000,26813,29996,36894,24034,23078,45380,20482,27879,27934,17064,50822,19109,14515,13286,17025,13598,23003,17085,7288,10120,34199,20401,22355,21756,13207,10409,5877,4997,6274,9937,8644,12141,15447,25381,19755,13966,11510,11328,11991,10805,11757,9707,1637,2255,3500,4418,2392,3502,2914,6953,2066,3412,4435
2022-01-05,3322,13329,37320,35342,24175,13772,10663,4046,3372,12645,2543,4213,4206,9338,10308,17086,18039,5632,8808,3363,8187,8067,6298,27494,3015,12705,11970,14889,23214,16164,9526,22973,14746,30052,24323,9398,32284,23957,24562,20335,21405,98977,35597,18392,22219,23165,24929,26008,22002,12715,29612,6970,8967,17155,4951,3660,3332,13539,8725,10475,30723,9303,11975,7615,21407,24994,27056,30934,37739,24276,23662,47528,20982,29051,28789,17314,51667,18482,14692,13346,17249,13473,22929,17362,7754,10405,34761,20799,22287,22175,12917,10109,6008,5092,6498,10129,9015,12419,15966,26053,20504,14429,11693,11674,11882,10966,11797,9935,1763,2337,3457,4530,2484,3460,2953,7058,2127,3531,4401
2022-01-06,3460,13628,38876,36591,24665,14452,10816,4043,3383,12839,2495,4396,4191,9477,10395,17585,18383,5682,9084,3075,8296,7948,6938,27328,3152,12141,12010,14727,23446,16106,9584,23748,15278,30497,24724,9568,32225,23920,24634,20155,21570,102093,36884,18323,21971,22924,24339,25961,21560,12386,28869,6952,8870,17223,5017,3610,3239,13800,8803,10502,29967,9260,11999,7443,21451,25222,27123,31282,37418,24502,23070,48004,21593,29584,29932,18019,54177,19306,14768,13757,17478,13325,23837,17762,7256,10489,36137,21842,22891,21895,13384,9941,6030,5147,6450,10017,8858,12209,15966,25988,20437,14090,11637,11688,11890,11022,11751,9724,1608,2375,3454,4514,2481,3568,2847,7096,2094,3497,4548
2022-01-07,3584,14113,39594,41143,25153,14555,11465,4410,3576,13564,2657,4424,4654,9884,14038,17685,18646,6277,9524,3284,9117,8773,6606,28420,3125,12915,12692,15881,25004,17266,10246,26638,16726,31829,26094,9781,34525,25068,26041,21157,21571,119110,42036,18934,22734,25274,26611,28103,23552,13155,31254,7550,9298,18705,5373,3790,3313,13649,9340,11478,33570,9793,12748,8021,22377,26163,29396,35236,39819,25917,25052,55697,21539,32358,33479,19507,59665,20482,15971,14132,19543,13651,28118,18664,7853,11300,36398,22293,23404,22828,13867,10958,6430,5048,7024,10694,9755,13667,16769,27207,22114,14974,12252,12636,12740,11619,12537,10604,1758,2671,3787,4870,2612,3576,3029,8525,2422,3941,5040
2022-01-08,2051,8308,20690,37362,13620,8958,7095,3381,2378,7588,1671,3868,4696,5569,10020,4678,6338,3887,7780,2951,5079,5693,2016,16920,3026,11633,9069,11693,15820,14859,8029,22064,13078,23556,17746,3717,26075,18099,18191,15546,8036,108146,41015,15015,15215,25013,20593,21330,17525,8395,21291,5759,5963,14365,5289,2941,1514,7498,7366,8196,26368,5760,8928,5999,15728,15466,24919,28964,27787,19334,22636,54797,12757,27077,26671,14332,48732,13875,12018,9642,14279,8204,23403,11568,8402,8975,16492,13763,12621,14048,7380,8634,4523,2432,5287,6783,7928,10977,11493,16878,16934,10087,8815,9205,8824,8704,7151,7474,992,2186,2661,3959,1189,1251,1822,6861,1768,2860,2853
2022-01-09,1803,5950,14439,27631,9430,6730,5216,2780,1816,5131,1336,2108,4559,4070,8819,3340,4479,2764,5928,2700,3775,4426,1884,13665,2828,10866,7513,9404,12290,10723,6485,17921,10594,17039,14160,3124,20625,14506,14312,11990,5952,103002,32693,10569,13291,22966,16946,17022,14219,6322,15016,4563,5233,11927,4513,2368,1229,5850,5647,6948,24720,4575,7527,4553,12332,11376,19414,24858,21628,14642,18541,45385,9702,21178,19396,11325,38663,11143,9609,7003,13136,6977,17727,8424,7405,6904,11684,8035,9344,10957,4656,6758,3384,1746,4261,5147,6367,9304,8807,12853,14590,7836,6697,7018,6659,7010,5757,5637,704,1624,2175,3263,944,1055,1481,7009,1372,2335,2352
2022-01-10,3188,12900,36104,32677,22978,12897,10488,3918,3202,12231,2347,4157,3729,8874,10200,15217,17059,5471,8495,3049,7887,7733,6184,26610,2759,11854,11360,14174,22399,15442,9011,21946,13985,27868,22374,9155,31071,23191,23763,19629,21498,101524,33318,17398,21353,22315,22915,24919,20983,11459,28338,6832,8518,16381,4568,3532,3119,12648,8578,10125,29366,9318,12105,7419,20978,24281,26300,29901,36419,23586,22628,45333,19697,27767,27204,16215,50492,18229,14233,12857,16815,13042,24471,16718,7054,9977,33658,19752,21617,21329,12436,10176,5825,4848,5987,9730,8661,12153,15100,25327,18660,13798,11395,11272,11743,10618,11492,9499,1680,2268,3378,4347,2514,3374,2822,7126,2029,3497,4357
