　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022-04-01,4898,12942,40672,40655,24431,12723,10542,4015,3140,12833,1935,4261,4554,7234,10960,15066,16745,4472,8957,2974,8209,8456,5884,27409,3313,10588,12481,15039,21959,14615,9375,24313,15363,29281,23374,8059,32753,24319,23893,17909,21182,150610,42886,19561,21085,25710,22151,23785,22387,12265,28755,6491,7807,18305,4532,3600,3039,13148,9239,11728,28041,9067,13221,7787,22120,22777,24524,40106,36586,25210,22892,54634,22201,31184,32906,20071,60854,19798,15317,13587,25454,12343,25470,19128,7165,11077,36307,25989,23510,22142,12961,10998,5908,4784,6443,10012,9640,11127,15779,27042,21253,13224,12347,12511,11589,11442,10366,8892,1389,2575,4003,4792,2473,3559,3070,10610,2562,4177,4964
2022-04-02,2780,6038,16639,30967,11030,6631,5485,3846,1727,5841,1016,2042,3742,4004,7562,3479,4766,2627,5832,1976,3923,4534,1695,14510,2741,7164,7180,9011,11169,9022,6090,14739,9009,16801,14536,2432,20407,13494,13277,10632,5804,115937,34205,11684,10390,16494,13124,15268,13567,6263,14811,4255,3970,10691,3952,2037,1140,5288,5640,8421,16401,4237,6729,4404,11648,10370,16080,28365,19916,14607,15664,45509,11059,21136,22095,11514,40909,11169,9475,6705,18000,4763,16435,9380,5593,6233,13684,14586,10278,9774,4970,6726,3223,1674,3903,5484,6981,7252,9109,11739,13415,7484,6638,7488,6723,7305,5098,4986,598,1775,2321,3199,834,1063,1507,8048,1404,2504,2055
2022-04-03,2147,5074,13000,21213,8048,5921,4602,3299,1614,4358,866,1708,5132,3380,6865,2713,3810,2189,4822,1947,3004,4011,1414,12701,2504,7202,6095,7694,8928,8184,5244,14461,7629,12452,12402,2321,17362,11646,10792,9447,4492,82761,30519,8707,9679,15482,13479,14530,12381,5076,13085,3709,3385,10711,3950,1937,996,5187,5269,7927,19191,3755,5555,3886,10247,8258,13722,22090,16674,12237,14762,42171,9087,18698,17738,9882,34819,9236,7832,5023,11610,4986,14486,7707,6092,5502,10470,10845,8091,9226,3515,4803,2838,1316,3638,4574,6188,6123,7527,9965,11505,6110,5735,6433,5494,6053,4491,4394,572,1473,1956,2778,712,838,1162,5533,1213,2163,1946
2022-04-04,1891,5198,13479,23517,8825,5814,5099,4069,1793,5299,1285,2614,12222,3606,7083,3398,3942,2534,5635,3555,3553,4279,1567,13401,2763,9779,6831,8303,9501,8920,5562,16032,7492,13049,11437,2407,19149,13089,12038,10191,4701,77104,29467,9474,9806,17016,18917,17049,12688,5590,15759,4313,3783,12151,4584,2150,1939,6716,6073,10333,30151,4244,6416,4459,11205,10487,14896,22168,18486,13586,15738,42396,7814,18188,17205,9359,33878,9145,8910,5389,11445,7241,14926,8190,6070,6268,10744,7788,8393,9812,3915,6824,3345,1571,4911,4915,6504,6895,7655,10534,11707,7138,6282,6569,5995,6550,5118,4591,745,1673,2136,3202,775,947,1308,5218,1359,2529,2100
2022-04-05,1971,5305,12814,20435,8553,5865,5024,3981,1948,5938,1074,2157,7631,4214,5906,3862,4240,2907,5562,3235,3455,4243,1425,9363,2397,8856,6760,8196,10119,8866,5982,17204,8302,13703,11398,2512,19078,13177,12077,10261,4615,68531,26110,8774,9320,15965,15578,14977,12178,5607,15427,4249,3642,11546,3560,2048,1065,6086,5707,8669,25032,4186,5585,4085,10680,8686,12937,19791,17492,13071,14181,34299,7422,15611,15041,8556,28736,9486,8573,5861,9815,6411,11886,8067,5958,5662,9851,11224,8639,8952,3802,4523,2784,1369,4236,4498,5756,5885,7526,9783,11655,6381,5630,6022,5559,6396,4519,4306,782,1799,2395,3074,686,960,1194,4929,1329,2401,2121
2022-04-06,3558,11962,37076,30290,22635,12559,9832,3530,3000,13125,1885,4378,4490,9020,8913,15432,15661,5196,8284,2909,7054,7828,5290,23632,2663,9774,11713,13772,20488,13371,8650,23385,14368,27693,20787,7703,30693,22111,22076,16669,22179,93424,33427,18082,19011,22778,19162,21916,20062,11707,28530,6106,7583,16898,3874,3242,2329,9408,8783,11366,24931,8316,11154,7157,20053,20996,21854,31747,32060,23926,20800,43290,17539,25385,27065,17027,49782,18061,13886,12748,15447,11280,21025,16813,6750,10036,33428,23954,21798,19729,7311,9794,5102,4474,6075,9301,8469,10395,14643,24053,18525,12173,11214,11286,10740,10509,9026,8106,1444,2321,3719,4458,2366,3331,2722,6755,2013,3543,4695
2022-04-07,3407,11927,37018,29942,22696,12095,9787,3544,3012,11154,1901,4133,4552,9021,8579,15648,15388,5175,8250,2822,6879,7787,5312,23754,2740,9904,11231,13703,20134,12918,8369,21312,14059,27246,20533,7692,30072,21820,21850,16442,21274,89821,32998,17866,19786,23104,20798,20941,19665,11571,26990,6102,7224,17010,3813,3227,3086,10048,8745,10974,23639,8173,10892,6822,19959,20289,21497,31121,31731,23320,19874,40390,17205,26757,26793,16696,48587,17979,13546,13108,15334,11092,20492,16695,6704,9879,33098,19815,21557,19420,7160,9891,5077,4484,5888,9188,8332,10153,14436,24002,18447,11981,11181,11037,10653,10356,9113,8057,1373,2175,3708,4315,2315,3342,2586,6555,2001,3557,4489
2022-04-08,3606,12349,39008,34222,23408,12608,9961,3506,3073,11439,1855,4190,4256,8739,9706,15249,15646,5373,8576,2953,7095,8051,5333,24106,2705,10324,11825,14099,21165,14094,8840,22913,14760,27484,21437,7948,30895,22968,22496,16763,21561,109109,38661,18975,20374,24390,22000,22374,21551,11605,27401,6167,7539,17537,4055,3394,3003,9508,8696,11538,25659,8451,11844,7181,20447,20679,23097,33984,32750,24232,21246,48670,18690,28808,30052,18599,54569,18923,14103,14428,17613,11716,24848,18332,7318,10493,34425,24263,22462,21100,7512,10754,5407,4481,6223,9470,8775,10484,15324,25094,20007,12260,11572,11682,10877,10639,9224,8223,1384,2306,3663,4482,2379,3423,2797,7603,2233,3881,4743
2022-04-09,1959,6792,18921,29375,12697,7697,5918,2989,2060,6395,1214,2453,5188,5586,8179,4337,5470,2976,6319,3217,4220,4709,1761,12652,2697,9915,7883,9702,12894,10961,6475,19562,10653,19737,14381,3151,22094,15966,14460,12074,7483,89661,35942,13479,12290,20683,20216,18782,16442,7122,18240,4931,5068,13096,3981,2533,1426,7214,6714,9137,25153,4592,7488,4621,12886,12004,17760,24694,22069,16286,17680,45487,10922,21080,23422,12634,38895,12211,10567,8943,12314,7633,20173,10527,8984,7751,13837,14220,11089,11760,5279,7423,3755,1882,5069,5893,7045,8015,9854,13613,15445,7892,7321,7601,7040,7664,5701,5557,889,1719,2265,3128,966,1229,1607,5691,1529,2684,2422
2022-04-10,1950,5505,14082,21396,10032,6361,4896,2763,1797,5208,1050,2960,4916,4488,7206,3659,5703,2808,5415,3319,3919,4187,1641,10199,2271,9598,6842,8447,10877,9393,5775,18402,9271,14970,13004,2813,18555,12850,12309,10243,5693,81923,28722,8861,11270,18432,17655,15986,13536,5498,15148,4119,4842,11730,3254,2059,1153,6257,5747,8800,25741,4216,6214,3832,11121,8871,14487,21260,18276,13559,14706,37652,8353,16179,15906,10155,31771,11007,8576,6797,10014,6606,18742,7880,8024,6423,10221,11115,8683,9411,4900,6364,3019,1603,4400,4788,5552,6632,7781,10506,12816,6622,5708,6318,5705,6335,4799,4502,782,1583,2147,2799,754,1054,1334,5050,1289,2162,2158
