　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,G大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,O景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,O頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2023-11-01,4934,14460,45449,40790,26752,14733,11013,3884,3420,13461,2151,4698,6548,9902,11517,17248,19082,5884,9963,3455,9094,9022,6846,30293,3181,11126,13202,16348,21205,17207,9890,27216,15804,32466,29644,12022,35754,26331,21762,20079,26133,123757,42641,22343,23603,26194,28819,28028,23561,13382,32048,6928,8420,20052,6061,4079,3504,14409,9949,13992,31775,9535,13532,8680,23431,25306,26342,39238,39293,28272,27422,60625,26035,33296,32096,20552,62405,20959,16514,14410,22510,13733,29748,19947,8223,14868,40843,22475,25632,26028,13423,11651,4778,5300,8226,10813,10152,12479,17483,29737,25357,14310,13144,13056,12823,12242,11661,9440,,,,,,,,,,,
2023-11-02,5149,14373,45700,42011,27256,14561,11066,3955,3307,13524,2073,4848,6470,9922,11301,17354,18787,6096,10042,3612,9490,9158,6911,30831,3391,11214,13048,16186,21037,15511,9925,26629,16129,32989,30322,11964,35274,26532,21647,20100,25562,128809,43593,22106,23510,26400,29438,28091,23340,13020,31558,6826,8244,19665,5974,3965,3373,14174,9796,14095,31929,9553,13906,8657,23578,24895,26525,39966,39126,28263,29324,60850,25813,33932,32580,20998,61692,20807,16151,14675,22816,13786,30555,20177,8105,14981,41772,22237,25531,26168,14175,11592,4753,5201,8097,10771,10167,12432,17705,30383,26139,14047,13245,13098,12913,12248,11801,9449,,,,,,,,,,,
2023-11-03,5929,14997,48086,49332,28252,15021,11602,4204,3480,13723,2169,4967,7181,9786,12697,17150,19053,6418,10597,3881,9893,9486,6962,42247,3457,11681,13392,17210,22424,15641,10451,29283,17363,33916,32800,12249,37139,27487,21978,20604,26108,166819,52657,24845,24675,29307,33097,30096,25211,13636,32428,7229,8668,21031,9466,4126,3367,14495,10439,14381,34074,10096,15240,9055,24665,25223,29097,45610,40490,29933,29596,74341,26507,37906,37924,23864,72560,22228,17917,14651,28768,14349,35692,21975,8953,16276,43205,23128,26611,28541,14048,12436,5021,5477,8569,11013,11170,13573,19121,31269,28102,14989,13272,13888,13205,12528,12195,9936,,,,,,,,,,,
2023-11-04,4114,9434,28197,48384,17318,10181,8316,3962,2543,8716,1697,4330,10576,7670,12967,5565,8019,6603,8853,3947,6575,8246,2614,36284,4051,12592,10060,13922,17014,14119,8735,27489,15083,26483,26316,5496,29295,21415,16473,16751,12125,157345,54825,20200,17274,36634,35984,27768,23365,9508,25505,6562,5922,18595,12808,3402,1979,9986,8490,12646,38362,6950,11756,7106,18272,15929,26947,41573,30382,24388,29547,81356,16475,35969,33332,21594,66331,15745,14535,10341,24090,10342,33192,14292,11620,14168,21617,18628,16276,23235,7535,10125,3825,2691,7865,7946,10599,11917,14382,20822,25226,11093,9944,10964,10692,10443,8461,7713,,,,,,,,,,,
2023-11-05,3630,7714,20804,35926,13276,7987,6821,3521,2242,7706,1430,3163,8786,5848,10761,4389,6761,3567,7482,3551,5444,5476,2379,29473,3346,11393,8589,12096,13553,12044,7776,24946,12071,20371,23239,4865,25496,18034,13685,14473,9690,138859,43292,14300,15779,33605,27281,22873,19030,7442,20226,5606,4919,16581,12636,3191,1668,8385,7341,11323,34700,6032,9361,5563,15329,12762,20700,35378,25081,18804,25241,64299,13882,28308,22533,15459,50683,13566,12354,7841,20039,8548,27939,10493,11033,12188,16208,15058,11846,16763,7513,8020,3051,2312,7307,6413,8273,9446,11249,15848,20621,8863,8000,8869,8037,8524,7273,6432,,,,,,,,,,,
2023-11-06,5051,13668,43049,39218,25464,14018,10318,3888,3252,13383,2119,3967,5517,9324,10527,16639,18131,4748,9527,3569,9234,8123,6755,37631,2929,10923,12740,16075,20363,16018,9582,25742,14932,31217,25552,11611,34490,25204,21096,19539,24651,126301,40245,21965,22816,25138,26456,26170,22230,13071,30450,6691,7816,18975,5502,3695,3370,14345,9574,13501,31135,9276,13270,8462,23118,24186,25517,39042,37830,27438,26372,58557,24200,32361,30921,19857,60729,19777,15992,14395,22765,13007,30005,19247,7639,14358,39050,21346,24895,24977,14403,11133,4641,5101,7691,10399,10100,11945,16459,28204,24171,13856,12283,12789,12331,11933,11564,9244,,,,,,,,,,,
2023-11-07,4973,14514,44638,40179,26948,14530,10971,3984,3350,13390,2210,4712,6524,9877,11000,17259,19210,5907,9910,3502,9222,9039,6816,27710,3250,11262,13135,16505,20910,17126,9757,26583,15699,32682,29900,12080,35626,26232,21892,20225,25160,123610,41804,22265,23755,26794,29059,27764,22990,13285,31337,6935,8318,19787,5667,3882,3470,14431,9956,14092,31197,9598,13842,8495,23616,25444,26425,39848,39043,28298,26392,59991,25407,32611,32250,20863,60819,20357,16327,14349,21572,13526,30103,19572,7967,15169,40912,22583,25303,25751,14690,11638,4762,5310,8150,10811,10127,12476,16993,29342,25710,14347,12701,13062,12713,12113,11803,9346,,,,,,,,,,,
2023-11-08,4829,14541,45424,42707,26939,14701,11140,4025,3441,13676,2188,4785,6461,9947,11353,17324,19255,5938,9974,3489,9205,9150,6838,28032,3386,11368,13366,16434,21053,17200,10023,25063,16033,32973,30071,11781,35686,26621,21949,20239,25771,127831,43265,22892,23729,27058,29016,27954,23301,13369,31773,7294,8359,20019,5662,4122,3447,14653,9970,14062,31971,9649,13692,8655,23763,25188,26854,40418,39280,28901,26922,61182,26572,33998,33599,21154,61764,20509,16432,14311,22183,13598,29991,20024,8124,15161,41172,22514,25824,26220,14320,12663,5012,5231,8085,10768,10226,12619,17448,30331,25787,14232,12981,13137,12739,12246,11862,9442,,,,,,,,,,,
2023-11-09,5042,14534,45685,60214,27086,15114,11353,4228,3444,14037,2232,4792,6328,10146,12039,17156,19340,6120,10070,3471,9298,9042,6878,28344,3398,11581,13236,16435,20944,17029,9965,24672,16150,33411,30154,11796,35724,26574,22027,20222,25318,135028,44197,22652,23934,27028,29674,28329,23446,13369,31625,6966,8444,19866,5891,3979,3461,14175,10044,14219,32247,9651,14067,8684,23887,25043,26960,41192,39499,28713,27550,62536,26261,34411,34095,21452,64216,20581,16399,15020,23001,13944,33829,20156,8033,15559,41193,22261,25969,26272,14520,11835,4798,5405,8220,10667,10302,12779,18224,30697,26427,14507,12949,13259,12853,12408,11880,9440,,,,,,,,,,,
2023-11-10,5416,15118,48588,61721,29000,15499,12227,4442,3554,13914,2186,4977,6987,9764,12982,16967,19118,6420,10481,3494,9791,9625,6961,34036,3699,11651,13595,17066,22321,17849,10579,24717,17524,34166,31721,11984,37299,27439,22412,20772,26439,176190,54385,24753,25186,29156,31721,30701,27206,13785,32487,7615,8530,20851,6558,4218,3443,14127,10418,14406,33722,10223,15114,9192,24898,24911,29851,47176,40776,29842,29238,75748,27254,37992,39573,24008,74197,22785,17779,15137,29022,14512,37742,21769,8699,16389,43647,23532,26708,27951,14158,12362,5161,5382,8418,11009,11530,13476,19723,31630,28378,14932,13589,14025,13331,13005,12162,9733,,,,,,,,,,,
