,Sun,Mon,Tue,Wed,Thu,Fri,Sat
松山機場,3509.264150943396,4761.0,4604.0,4777.2692307692305,4719.25,5093.9807692307695,3714.7115384615386
中山國中,7282.962264150943,12681.01923076923,13442.115384615385,13863.846153846154,13618.134615384615,13988.634615384615,9274.48076923077
南京復興,19609.603773584906,39858.769230769234,42122.17307692308,43466.096153846156,42949.769230769234,44857.153846153844,27277.19230769231
忠孝復興,34684.35849056604,38301.807692307695,39565.25,40464.75,40997.692307692305,46843.61538461538,45015.67307692308
大安,12505.509433962265,22828.53846153846,24140.03846153846,24848.076923076922,24655.423076923078,25559.69230769231,17154.03846153846
科技大樓,7932.679245283019,12618.173076923076,13309.807692307691,13752.846153846154,13551.865384615385,13808.01923076923,10011.692307692309
六張犁,6363.7169811320755,9972.76923076923,10395.461538461539,10760.846153846154,10565.73076923077,10953.115384615385,7787.057692307692
麟光,3332.0943396226417,3824.7115384615386,3858.3653846153848,3952.1346153846152,3880.6923076923076,3990.3846153846152,3646.096153846154
辛亥,2100.8490566037735,3128.326923076923,3194.2115384615386,3282.2115384615386,3195.519230769231,3270.0576923076924,2427.3653846153848
萬芳醫院,6939.905660377359,12024.326923076924,12341.711538461539,12756.48076923077,12410.48076923077,12452.711538461539,8284.365384615385
萬芳社區,1297.9811320754718,1935.6346153846155,2001.0,2030.826923076923,2020.2692307692307,1994.3076923076924,1507.3846153846155
木柵,2699.5283018867926,4147.0192307692305,4190.673076923077,4275.692307692308,4257.576923076923,4278.961538461538,3198.7884615384614
動物園,7977.471698113208,6008.596153846154,6475.9807692307695,5915.807692307692,6059.326923076923,6220.134615384615,7828.461538461538
大直,5366.094339622641,8365.711538461539,8663.75,8869.807692307691,8795.634615384615,8700.038461538461,6306.903846153846
劍南路,10438.075471698114,10669.634615384615,11062.846153846154,11368.615384615385,11345.75,12635.365384615385,12113.807692307691
西湖,4186.773584905661,14925.557692307691,15938.423076923076,16479.653846153848,16163.98076923077,15604.903846153846,5953.788461538462
港墘,5610.528301886792,16187.653846153846,17204.78846153846,17858.5,17429.0,17163.903846153848,7549.346153846154
文德,3382.301886792453,5218.442307692308,5390.961538461538,5532.365384615385,5509.057692307692,5660.692307692308,4127.865384615385
內湖,6974.924528301887,8961.01923076923,9365.384615384615,9615.961538461539,9449.865384615385,9851.807692307691,8180.596153846154
大湖公園,3232.7735849056603,3249.9615384615386,3280.673076923077,3326.7115384615386,3278.6923076923076,3323.0384615384614,3329.8076923076924
葫洲,4738.207547169812,7972.442307692308,8204.01923076923,8504.211538461539,8325.461538461539,8485.865384615385,5727.211538461538
東湖,5402.7169811320755,8001.0192307692305,8373.461538461539,8601.307692307691,8489.98076923077,8764.98076923077,6550.057692307692
